Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/15 2:41:49,4.3,5.1,114
08/15 2:43:49,4.1,5.1,145
08/15 2:45:49,5.8,7,140
08/15 2:47:49,4.3,5.1,141
08/15 2:49:49,4.9,7,131
08/15 2:51:49,3.9,5.1,146
08/15 2:53:49,3.1,3.9,162
08/15 2:55:49,4.3,6,185
08/15 2:57:49,5.4,8,168
08/15 2:59:49,5.8,8,160
08/15 3:01:49,5.6,7,143
08/15 3:03:49,5.8,8,133
08/15 3:05:49,4.3,6,144
08/15 3:07:49,4.9,6,120
08/15 3:09:49,4.3,5.1,119
08/15 3:11:49,4.7,5.1,109
08/15 3:13:49,4.9,6,107
08/15 3:15:49,5.1,6,90
08/15 3:17:49,5.4,6,87
08/15 3:19:49,5.1,7,96
08/15 3:21:49,5.1,6,108
08/15 3:23:49,4.3,6,121
08/15 3:25:49,4.7,5.1,105
08/15 3:27:49,4.1,6,91
08/15 3:29:49,4.1,5.1,101
08/15 3:31:49,4.3,5.1,111
08/15 3:33:49,3.5,5.1,108
08/15 3:35:49,3.1,3.9,117
08/15 3:37:49,3.5,3.9,110
08/15 3:39:49,3.9,5.1,111
08/15 3:41:49,3.3,3.9,119
08/15 3:43:49,3.5,3.9,120
08/15 3:45:49,2.5,2.9,104
08/15 3:47:49,2.1,2.9,100
08/15 3:49:49,1.9,1.9,99
08/15 3:51:49,2.7,3.9,98
08/15 3:53:49,1.9,1.9,98
08/15 3:55:49,1.9,1.9,97
08/15 3:57:49,1.9,2.9,97
08/15 3:59:49,3.3,3.9,95
08/15 4:01:49,2.5,3.9,85
08/15 4:03:49,4.1,5.1,102
08/15 4:05:49,3.5,5.1,123
08/15 4:07:49,1.9,1.9,127
08/15 4:09:49,1.6,1.9,127
08/15 4:11:49,1,1,127
08/15 4:13:49,2.3,2.9,127
08/15 4:15:49,1.6,1.9,127
08/15 4:17:49,2.5,2.9,122
08/15 4:19:49,2.7,3.9,118
08/15 4:21:49,3.1,3.9,104
08/15 4:23:49,4.7,6,103
08/15 4:25:49,3.5,3.9,94
08/15 4:27:49,3.5,5.1,99
08/15 4:29:49,3.3,3.9,96
08/15 4:31:49,3.9,5.1,100
08/15 4:33:49,4.7,6,95
08/15 4:35:49,4.7,6,107
08/15 4:37:49,4.3,5.1,105
08/15 4:39:49,3.9,5.1,91
08/15 4:41:49,3.9,5.1,83
08/15 4:43:49,3.5,3.9,95
08/15 4:45:49,4.9,5.1,97
08/15 4:47:49,5.2,6,86
